Date,Open,High,Low,Close,Volume
2019-06-17,49.75,51.0,46.25,48.75,5972
2019-06-24,49.5,49.5,42.0,42.0,9292
2019-07-01,46.0,49.75,41.0,46.0,8480
2019-07-08,46.25,52.5,42.5,49.25,8864
2019-07-15,49.25,53.75,47.5,49.0,7860
2019-07-22,50.0,51.25,45.75,46.75,5492
2019-07-29,47.5,49.5,44.0,44.75,3948
2019-08-05,46.25,46.25,35.0,42.25,10984
2019-08-12,42.5,45.0,35.5,39.75,6180
2019-08-19,40.5,43.5,37.5,39.5,3752
2019-08-26,37.75,42.75,36.0,41.25,3824
2019-09-02,42.5,47.5,38.0,40.25,5712
2019-09-09,40.5,48.25,38.0,40.25,21712
2019-09-16,39.75,43.0,36.0,38.25,11348
2019-09-23,38.5,38.5,35.5,37.5,4252
2019-09-30,37.75,42.0,35.0,36.75,7004
2019-10-07,36.75,40.75,34.75,35.75,7752
2019-10-14,35.5,46.25,33.5,40.5,18944
2019-10-21,41.0,41.0,35.75,38.25,7060
2019-10-28,39.25,41.75,37.5,38.25,5100
2019-11-04,38.5,41.5,38.0,40.5,3772
2019-11-11,41.5,43.75,37.5,38.25,5284
2019-11-18,37.75,40.25,35.5,36.0,4908
2019-11-25,36.0,37.5,35.0,36.25,2224
2019-12-02,36.5,41.5,34.0,37.75,9884
2019-12-09,36.75,62.25,36.75,55.0,24984
2019-12-16,61.25,79.25,50.0,57.75,88180
2019-12-23,55.5,61.25,53.75,61.25,9436
2019-12-30,60.5,68.25,57.5,61.0,18472
2020-01-06,58.75,66.25,55.25,57.25,10280
2020-01-13,56.75,63.25,50.25,53.0,14500
2020-01-20,52.5,55.5,49.25,53.25,6084
2020-01-27,52.0,53.25,39.25,45.5,10100
2020-02-03,45.0,50.75,40.0,44.5,13824
2020-02-10,45.5,47.0,30.5,38.0,24876
2020-02-17,39.75,45.25,37.0,43.5,14524
2020-02-24,42.5,43.0,30.0,36.0,9104
2020-03-02,37.5,47.0,31.75,36.5,21472
